name,description,price,address,locality,region,title,view_om_button
1301-1307 W Front St Plainfield-Retail - For Rent,3234 SF for rent in Plainfield NJ  , USD,1301-1307 W Front St,Plainfield,New Jersey,,
1515 US Highway 22 Watchung-Retail - For Rent,39600 SF for rent in Watchung NJ  , USD,1515 US Highway 22,Watchung,New Jersey,,
169-215 North Ave Dunellen-Retail - For Rent,"4300 SF for rent in Dunellen NJ offered at $2,250+  USD /mo",18.00 SF/YR USD,169-215 North Ave,Dunellen,New Jersey,,
1701 US Highway 22 Watchung-Retail - For Rent,18730 SF for rent in Watchung NJ  , USD,1701 US Highway 22,Watchung,New Jersey,,
,"Retail • 1 space available • 3,675 sq. ft.",Undisclosed Rate,"1301 W Front St Plainfield, NJ 07063",,,1301 West Front Street,False
,"Retail • 2 spaces available • 1,732 sq. ft. - 2,173 sq. ft.",Undisclosed Rate,"211-215 West Front Street Plainfield, NJ 07060",,,Park Madison Complex,False
,"Retail • 1 space available • 1,700 sq. ft.",Undisclosed Rate,"1369 South Ave Plainfield, NJ 07062",,,1369 South Avenue,False
1156 Walnut Bottom Rd Carlisle-Retail - For Rent,"1300 SF for rent in Carlisle PA offered at $1,425+  USD /mo",18.00  USD  SF/YR USD,1156 Walnut Bottom Rd,Carlisle,Pennsylvania,,
20 Noble Blvd Carlisle-Retail - For Rent,3669 SF for rent in Carlisle PA  , USD,20 Noble Blvd,Carlisle,Pennsylvania,,
168 N Main St Barre-Retail - For Rent,"1463 SF for rent in Barre VT offered at $1,463  USD /mo",12.00  USD  SF/YR USD,168 N Main St,Barre,Vermont,,
1450 Barre-Montpelier Berlin-Retail - For Rent,"3800 SF for rent in Berlin VT offered at $9,500  USD /mo",30.00  USD  SF/YR USD,1450 Barre-Montpelier,Berlin,Vermont,,
1400 US Route 302 Barre-Retail - For Rent,"3000 SF for rent in Barre VT offered at $1,667+  USD /mo",10.00  USD  SF/YR USD,1400 US Route 302,Barre,Vermont,,
282 Berlin Mall Rd Berlin-Retail - For Rent,5392 SF for rent in Berlin VT offered at $593+  USD /mo,12.00  USD  SF/YR USD,282 Berlin Mall Rd,Berlin,Vermont,,
"89 Main St Montpelier-Office, Office/Retail - For Rent",10000 SF for rent in Montpelier VT offered at $782+  USD /mo,14.00 SF/YR USD,89 Main St,Montpelier,Vermont,,
367 US-302 Montpelier-Retail - For Rent,"4000 SF for rent in Montpelier VT offered at $4,667  USD /mo",14.00  USD  SF/YR USD,367 US-302,Montpelier,Vermont,,
Shops at Plainfield Commerce Center,"1,600 SF Building Offered in Plainfield, IN",,Stafford Rd,Plainfield,Indiana,,
829 South Ave Plainfield-Retail - For Rent,4000 SF for rent in Plainfield NJ  , USD,829 South Ave,Plainfield,New Jersey,,
233 S Washington Ave Bergenfield-Retail - For Rent,"4000 SF for rent in Bergenfield NJ offered at $7,667  USD /mo",23.00  USD  SF/YR USD,233 S Washington Ave,Bergenfield,New Jersey,,
560-570 Cedar Ln Teaneck-Retail - For Rent,"1300 SF for rent in Teaneck NJ offered at $3,792  USD /mo",35.00  USD  SF/YR USD,560-570 Cedar Ln,Teaneck,New Jersey,,
"401 S Van Brunt St Englewood-Office/Medical, Medical, Retail - For Rent","13530 SF for rent in Englewood NJ offered at $2,950+  USD /mo",29.50  USD  SF/YR USD,401 S Van Brunt St,Englewood,New Jersey,,
"764 New Bridge Rd Teaneck-Office/Medical, Retail - For Rent","8361 SF for rent in Teaneck NJ offered at $3,572+  USD /mo",29.00  USD  SF/YR USD,764 New Bridge Rd,Teaneck,New Jersey,,
157-159 Main St Hackensack-Retail - For Rent,"5500 SF for rent in Hackensack NJ offered at $4,583  USD /mo",10.00  USD  SF/YR USD,157-159 Main St,Hackensack,New Jersey,,
391-393 Grand Ave Englewood-Retail - For Rent,"4000 SF for rent in Englewood NJ offered at $2,500+  USD /mo",15.00  USD  SF/YR USD,391-393 Grand Ave,Englewood,New Jersey,,
"239-241 Main St Hackensack-Office, Retail - For Rent",6000 SF for rent in Hackensack NJ offered at $242+  USD /mo,25.00  USD  SF/YR USD,239-241 Main St,Hackensack,New Jersey,,
210 Main St Hackensack-Retail - For Rent,"3477 SF for rent in Hackensack NJ offered at $5,505  USD /mo",19.00  USD  SF/YR USD,210 Main St,Hackensack,New Jersey,,
383-389 Main St Hackensack-Retail - For Rent,"3500 SF for rent in Hackensack NJ offered at $6,417  USD /mo",22.00  USD  SF/YR USD,383-389 Main St,Hackensack,New Jersey,,
540-548 Grand Ave Englewood-Retail - For Rent,"1250 SF for rent in Englewood NJ offered at $3,021  USD /mo",29.00  USD  SF/YR USD,540-548 Grand Ave,Englewood,New Jersey,,
25 S Van Brunt St Englewood-Retail - For Rent,"5050 SF for rent in Englewood NJ offered at $13,004  USD /mo",30.90  USD  SF/YR USD,25 S Van Brunt St,Englewood,New Jersey,,
231 Main St Hackensack-Retail - For Rent,1400 SF for rent in Hackensack NJ  , USD,231 Main St,Hackensack,New Jersey,,
62 E State Rt 4 Englewood-Retail - For Rent,30000 SF for rent in Englewood NJ  , USD,62 E State Rt 4,Englewood,New Jersey,,
179 Main St Ridgefield Park-Office/Retail - For Rent,500 SF for rent in Ridgefield Park NJ  , USD,179 Main St,Ridgefield Park,New Jersey,,
207 Main St Hackensack-Retail - For Rent,1500 SF for rent in Hackensack NJ  , USD,207 Main St,Hackensack,New Jersey,,
23-29 Nathaniel Pl Englewood-Retail - For Rent,2261 SF for rent in Englewood NJ  , USD,23-29 Nathaniel Pl,Englewood,New Jersey,,
215 Main St Hackensack-Retail - For Rent,1700 SF for rent in Hackensack NJ  , USD,215 Main St,Hackensack,New Jersey,,
286-300 Main St Hackensack-Retail - For Rent,4500 SF for rent in Hackensack NJ  , USD,286-300 Main St,Hackensack,New Jersey,,
242 State St Hackensack-Retail - For Rent,2100 SF for rent in Hackensack NJ  , USD,242 State St,Hackensack,New Jersey,,
"10-22 Banta Pl Hackensack-Office, Retail - For Rent",7000 SF for rent in Hackensack NJ  , USD,10-22 Banta Pl,Hackensack,New Jersey,,
"51-55 Main St Hackensack-Office, Retail - For Rent",2100 SF for rent in Hackensack NJ  , USD,51-55 Main St,Hackensack,New Jersey,,
28-46 Dean St Englewood-Retail - For Rent,2506 SF for rent in Englewood NJ  , USD,28-46 Dean St,Englewood,New Jersey,,
47 W Palisade Ave Englewood-Retail - For Rent,11516 SF for rent in Englewood NJ  , USD,47 W Palisade Ave,Englewood,New Jersey,,
265 Main St Hackensack-Retail - For Rent,3530 SF for rent in Hackensack NJ  , USD,265 Main St,Hackensack,New Jersey,,
"50 Main St Hackensack-Office/Retail, Retail - For Rent",4900 SF for rent in Hackensack NJ  , USD,50 Main St,Hackensack,New Jersey,,
387 Nordhoff Pl Englewood-Office/Retail - For Rent,2283 SF for rent in Englewood NJ  , USD,387 Nordhoff Pl,Englewood,New Jersey,,
450 Hackensack Ave Hackensack-Retail - For Rent,1594 SF for rent in Hackensack NJ  , USD,450 Hackensack Ave,Hackensack,New Jersey,,
150 Main St Hackensack-Retail - For Rent,2448 SF for rent in Hackensack NJ  , USD,150 Main St,Hackensack,New Jersey,,
830 River Rd New Milford-Office/Retail - For Rent,6953 SF for rent in New Milford NJ  , USD,830 River Rd,New Milford,New Jersey,,
"150 River St Hackensack-Office/Retail, Retail - For Rent",16026 SF for rent in Hackensack NJ  , USD,150 River St,Hackensack,New Jersey,,
555 Northfield Avenue #1 Retail West Orange-Retail - For Rent,"1785 SF for rent in West Orange NJ offered at $6,396  USD /mo",43.00  USD  SF/YR USD,555 Northfield Avenue #1 Retail,West Orange,New Jersey,,
513 Stetson St Orange-Office/Retail - For Rent,"1808 SF for rent in Orange NJ offered at $3,500  USD /mo",23.23  USD  SF/YR USD,513 Stetson St,Orange,New Jersey,,
"640-642 Eagle Rock Ave West Orange-Office, Retail - For Rent",1341 SF for rent in West Orange NJ offered at $400+  USD /mo,19.20 SF/YR USD,640-642 Eagle Rock Ave,West Orange,New Jersey,,
30 Pompton Ave Verona-Retail - For Rent,"3437 SF for rent in Verona NJ offered at $10,025  USD /mo",35.00  USD  SF/YR USD,30 Pompton Ave,Verona,New Jersey,,
"427-429 Bloomfield Ave Montclair-Office, Retail - For Rent","4840 SF for rent in Montclair NJ offered at $4,000+  USD /mo",30.00 SF/YR USD,427-429 Bloomfield Ave,Montclair,New Jersey,,
"348-360 Bloomfield Ave Montclair-Office, Office/Retail - For Rent","1400 SF for rent in Montclair NJ offered at $1,938+  USD /mo",30.00  USD  SF/YR USD,348-360 Bloomfield Ave,Montclair,New Jersey,,
"80 Main St West Orange-Office, Retail - For Rent","5073 SF for rent in West Orange NJ offered at $1,032+  USD /mo",22.00 SF/YR USD,80 Main St,West Orange,New Jersey,,
820 Bloomfield Ave Verona-Retail - For Rent,"1400 SF for rent in Verona NJ offered at $2,217  USD /mo",19.00  USD  SF/YR USD,820 Bloomfield Ave,Verona,New Jersey,,
641-653 Eagle Rock Ave West Orange-Retail - For Rent,"1000 SF for rent in West Orange NJ offered at $2,833  USD /mo",34.00  USD  SF/YR USD,641-653 Eagle Rock Ave,West Orange,New Jersey,,
555-557 Main St Orange-Retail - For Rent,"1000 SF for rent in Orange NJ offered at $1,667  USD /mo",20.00  USD  SF/YR USD,555-557 Main St,Orange,New Jersey,,
"475 Bloomfield Ave Montclair-Office, Retail - For Rent",6082 SF for rent in Montclair NJ  , USD,475 Bloomfield Ave,Montclair,New Jersey,,
540-544 Freeman St Orange-Retail - For Rent,1500 SF for rent in Orange NJ  , USD,540-544 Freeman St,Orange,New Jersey,,
21-25 Grove Ave Verona-Retail - For Rent,826 SF for rent in Verona NJ  , USD,21-25 Grove Ave,Verona,New Jersey,,
14 S Park St Montclair-Retail - For Rent,3800 SF for rent in Montclair NJ  , USD,14 S Park St,Montclair,New Jersey,,
12 Pompton Ave Verona-Retail - For Rent,2400 SF for rent in Verona NJ  , USD,12 Pompton Ave,Verona,New Jersey,,
"161 Main St West Orange-Medical, Retail - For Rent",10500 SF for rent in West Orange NJ  , USD,161 Main St,West Orange,New Jersey,,
255 Prospect Ave West Orange-Retail - For Rent,16033 SF for rent in West Orange NJ  , USD,255 Prospect Ave,West Orange,New Jersey,,
42 Park St Montclair-Retail - For Rent,18069 SF for rent in Montclair NJ  , USD,42 Park St,Montclair,New Jersey,,
475 S Jefferson St Orange-Office/Retail - For Rent,"2750 SF for rent in Orange NJ offered at $4,499  USD /mo",19.63  USD  SF/YR USD,475 S Jefferson St,Orange,New Jersey,,
220 Strickland Dr-Retail - For Rent,25500 SF for rent in Orange TX offered at $708+  USD /mo,6.00 SF/YR USD,220 Strickland Dr,Orange,Texas,,
,"Retail • Single tenant • 1,659 sq. ft.",Undisclosed Rate,"457 Pleasant Valley Way West Orange, NJ 07052",,,457 Pleasant Valley,False
,"Retail • 9 spaces available • 1,211 sq. ft. - 10,000 sq. ft.",Undisclosed Rate,"495 Prospect Avenue West Orange, NJ 07052",,,Essex Green Town Center,False
,"Retail • Single tenant • 2,400 sq. ft.",Undisclosed Rate,"216 Main St West Orange, NJ 07052",,,216 Main Street,False
